ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
K711105,Car Rental,تأجير السيارات
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G502011,Auto Accessories Fitting,تجهيز السيارات بالأجزاء الإضافية
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
G513931,Gifts Trading,تجارة الهدايا
G524001,Used Furniture Trading,تجارة الأثاث المستعمل
G524003,Used Electrical & Electronic Appliances Trading,تجارة الأجهزة والأدوات الكهربائية والإلكترونية المستعملة
G511003,Commercial Brokers,وسيط تجاري
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G521904,General Trading,تجارة عامة
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454019,Cladding Works,أعمال التكسية
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G511003,Commercial Brokers,وسيط تجاري
I630102,Cargo Loading and Unloading Services,خدمات تحميل وتفريغ البضائع
I630308,Containers Loading and Unloading Services.,خدمات تحميل أحوية الشحن وتفريغها
I630103,Cargo Packaging,خدمات حزم البضائع
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F454007,Building Maintenance,صيانة المباني
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Cladding Works,أعمال التكسية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
K711106,Buses Rental,تأجير الحافلات
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454007,Building Maintenance,صيانة المباني
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513913,Cookers and Cook Stoves Trading,تجارة المواقد والأفران والطابخات
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515953,Calculators & Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
G513912,Cutlery and Silverware Trading,تجارة الفضيات وأدوات المائدة
G513911,Household Utensils Trading,تجارة الأدوات والأواني المنزلية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
