LOOKUP_CODE,MEANING,DESCRIPTION
K7412,Accounting Services,الخدمات المحاسبية
J6720,Activities Auxiliary To Insurance & Pension Funding,الأنشطة المساعدة للتأمين والمعاشات
I6304,Activities of Travel Agencies,أنشطة وكالات السفر
J6711,Administration of Financial Markets,إدارة الأسواق المالية
K7430,Advertising Services,خدمات الإعلان
A0140,Agricultural & Animal Husbandry Services,الخدمات المتعلقة بالانتاج النباتي والحيواني
N8514,Alternative Medicine,الطب البديل
K7421,"Architectural, Engineering Activities & Related Technical Services",الخدمات الهندسية والمعمارية والخدمات الفنية المتعلقة بها
O9214,Art & Music Activities,أنشطة الفنون والموسيقى
D3512,Building & Repair of Boats,صناعة القوارب وإصلاحها
D3511,Building & Repair of Ships,بناء السفن وإصلاحها
F4540,Building Completion,مقاولات أعمال الإنهاء
F4530,Building Installation,مقاولات تركيبات الأبنية
K7493,Buildings Cleaning Activities,أنشطة تنظيف الأبنية
K7414,Business & Management Consultancy Activities,الدراسات والإستشارات التجارية والإدارية
O9111,Business Orgnizations,منظمات الأعمال
I6301,Cargo Handling,خدمات الشحن
D2731,Casting of Iron & Steel,سباكة الحديد والصلب
D2732,Casting of Non-Ferrous Metals,سباكة المعادن غير الحديدية
D2892,Coating & Treatment of Metals,طلاء المعادن ومعالجتها
E4100,"Collection, Purification & Distribution of Water",عمليات جمع المياه وتنقيتها وتوزيعها
F4520,Contracting of Civil Engineering Works,المقاولات العامة للإنشاءات المدنية
D2696,"Cutting, Shaping & Finishing of Stone",تقطيع الصخور وتشكيلها
G5250,E-Commerce,المتاجرة الإلكترونية
Q9900,Extra-Territorial Organizations & Bodies,المنظمات والهيئات الدولية
C1110,Extraction of Crude Petroleum & Natural Gas,إنتاج البترول الخام والغاز الطبيعي
A0121,"Farming of Cattle, Sheep & Goats",تربية الماشية والأغنام وإكثارها
A0122,Farming of Other Domestic Animals,تربية الحيوانات الأخرى
J6519,Finance & Banking,التمويل والمصارف
J6719,Financial Intermediation Institutions N.E.C.,مؤسسات الوساطة المالية المساعدة التي لم تصنف في مكان آخر
B0500,"Fish, Marine Animals Fishing & Farming",صيد الأسماك والحيوانات البحرية وإكثارها
D2891,Forming of Metal,تشكيل المعادن
I6023,Freight Transport By Road,الشحن البري
N8511,General & Specialized Hospitals,المستشفيات العامة والمتخصصة
G5135,"Gifts, Jewellery & Novelties Trading",تجارة الهدايا والمصوغات والتحف
A0113,"Growing Of Fruit, Nuts & Spices Crops",زراعة أشجار الفاكهة والتوابل
A0111,Growing of Cereals & Othrer Crops,زراعة الحبوب والمحاصيل
A0112,Growing of Vegetables & Plant Nurseries Products,زراعة الخضار ومنتجات المشاتل
K7492,Guarding & Inspection Activities,أنشطة الحراسة والتفتيش
O9302,Hairdressing & Other Beauty Treatment,محال الحلاقة وصالونات التجميل
K7210,Hardware Consultancy,إستشارات أجهزة الحاسب الآلي
M8030,Higher Education,التعليم العالي
H5510,Hotels & Other Provision For Short Stay Accommodation,الفنادق ودور الإقامة المحدودة
G5134,"Household Articles, Appliances & Furniture Trading",تجارة الأدوات والأجهزة المنزلية والأثاث
G5110,Intermediate & Trade Services,الوسطاء التجاريون والخدمات الخاصة بالتجارة
K7491,Labor Recruitment & Provision of Personnel,خدمات توريد العمالة والتوظيف
K7411,Legal Services,الخدمات القانونية
O9231,Libraries & Documentation Activities,المكتبات وأنشطة التوثيق
J6601,Life Insurance,التأمين على الحياة
G5020,Maintenance & Repair of Motor Vehicles,إصلاح المركبات وصيانتها
K7250,"Maintenance & Repair of office, Accounting & Computing Machinery",إصلاح أجهزة الحاسب الآلي والمعدات المكتبية وصيانتها
D1722,Manufactur of Carpets & Rugs,صناعة السجاد والبسط
D2695,Manufactur of Cement & Cement Products,صناعة الإسمنت والمنتجات الإسمنتية
D2921,Manufacture of Agricultural & Forestry Machinery,صناعة المكائن والمعدات الزراعية
D3801,Manufacture of Arts & Gift Items,إنتاج المصوغات والتحف والهدايا
D1541,Manufacture of Bakery Products,صناعة منتجات المخابز
D2411,Manufacture of Basic Chemicals,صناعة الكيماويات الأساسية
D2710,Manufacture of Basic Iron & Steel,صناعة الحديد والصلب الأساسية
D2720,Manufacture of Basic Non-Ferrous Metals,صناعة المعادن الأساسية (غير الحديدية)
D2913,"Manufacture of Bearings, Gears, Gear Boxes & Steering Systems",صناعة المساند والتروس وعناصر نقل الحركة والقيادة
