LOOKUP_CODE,MEANING,DESCRIPTION
J671,Activities Auxiliary To Financial Intermediation,
J672,Activities Auxiliary To Insurance & Pension Funding,الأنشطة المساعدة للتأمين وتوفير الاعتمادات للمعاشات التقاعدية
K743,Advertising Services,خدمات الإعلان
A014,Agricultural & Animal Husbandry Services,أنشطة الخدمات الزراعية وخدمات تربية الحيوان باستثناء الأنشطة البيطرية
K742,Architectural & Engineering Services,الخدمات الهندسية والمعمارية والخدمات الفنية المتعلقة بها
F454,Building Completion,تشطيب المباني
F453,Building Installation,التركيبات المتعلقة بالمباني
D351,"Building, Repairing of Ships & Boats",بناء السفن والقوارب وإصلاحها
O911,Business & Professional Orgnizations,
D273,Casting of Metals,سباكة المعادن
E410,"Collection, Purification & Distribution of Water",عمليات جمع المياه وتنقيتها وتوزيعها
F452,Contracting of Civil Engineering Works,بناء المنشآت الكاملة أو أجزاء منها (الهندسة المدنية)
G525,E-Commerce,
Q990,Extra-Territorial Organizations & Bodies,المنظمات والهيئات الدولية
C111,Extraction of Crude Petroleum & Natural Gas,استخراج النفط الخام والغاز الطبيعي
A012,Farming of Animals,تربية الحيوان
J651,Financial & Monetary Institutions,
B050,"Fish, Marine Animals Fishing & Farming",
A011,Growing of Crops & Gardening,زراعة المحاصيل وزراعة الحدائق
K721,Hardware Consultancy,إستشارات أجهزة الحاسب الآلي
M803,Higher Education,التعليم العالي
H551,Hotels & Other Provision For Short-Stay Accommodation,الفنادق ومواقع التخييم وأماكن الإقامة قصيرة الأمـد
J660,Insurance & Pension Funding,
G511,Intermediate & Trade Services,
K741,"Legal, Accounting Services & Business Management",
O923,"Library, Archives & Other Cultural Activities",أنشطة المكتبات والسجلات والمتاحف والأنشطة الثقافية الأخرى
G502,Maintenance & Repair of Motor Vehicles,إصلاح المركبات وصيانتها
K725,"Maintenance & Repair of office , Accounting & Computing Machinery",صيانة وإصلاح الآلات المكتبية والمحاسبية وآلات الحاسب الالكتروني
D342,Manufacture Of Trailers & Bodies For Motor Vehicles,
D241,Manufacture of Basic Chemicals,صناعة الكيماويات الأساسية
D271,Manufacture of Basic Iron & Steel,صناعة الحديد والصلب الأساسية
D272,Manufacture of Basic Non-Ferrous Metals,صناعة المعادن الثمينة والمعادن غير الحديدية الأساسية
D155,Manufacture of Beverages,صناعة المشروبات
D152,Manufacture of Dairy Products,صناعة الألبان ومنتجاتها
D293,Manufacture of Domestic Appliances,صناعة الأجهزة المنزلية التي لم تصنف في مكان آخر
D315,Manufacture of Electric Lamps & Lighting Equipment,صناعة المصابيح الكهربائية ومعدات الإضاءة
D311,"Manufacture of Electric Motors, Generators & Transformers",صناعة المحركات والمولدات والمحولات الكهربائية
D312,Manufacture of Electricity Distribution & Control Apparatus,صناعة أجهزة توزيع الكهرباء والتحكم بها
D321,"Manufacture of Electronic Valves, Tubes & Other Electronic Components",صناعة الصمامات والأنابيب الإلكترونية وغيرها من المكونات الإلكترونية
D192,Manufacture of Footwear,صناعة الأحذية
D361,Manufacture of Furniture,صناعة الأثاث
D291,Manufacture of General Purpose Machinery,صناعة الآلات المتعددة الأغراض
D261,Manufacture of Glass & Glass Products,صناعة الزجاج والمنتجات الزجاجية
D153,Manufacture of Grain Mill Products & Prepared Animal Feeds,صناعة منتجات مطاحن الحبوب والنشاء ومنتجاتها والأعلاف
D380,Manufacture of Handicraft,
D313,Manufacture of Insulated Wire & Cable,صناعة الأسلاك والكابلات المعزولة
D331,Manufacture of Measuring Equipment & Control Instruments,
D289,Manufacture of Metal Products,صناعة المشغولات المعدنية
D341,Manufacture of Motor Vehicles,صناعة المركبات
D269,Manufacture of Non-Metallic Mineral Products,صناعة منتجات المعادن اللافلزية الأخرى
D332,Manufacture of Optical Products,
D242,Manufacture of Other Chemical Products,صناعة المنتجات الكيماوية الأخرى
D319,Manufacture of Other Electrical Equipment N.E.C,صناعة المعدات واللوازم الكهربائية الأخرى
D154,Manufacture of Other Food Products,صناعة المواد الغذائية الأخرى
D172,Manufacture of Other Textiles,صناعة المنسوجات الأخرى
D210,Manufacture of Paper & Paper Products,صناعة الورق والمنتجات الورقية
D343,"Manufacture of Parts, Accessories For Motor Vehicles & Their Engines",صناعة أجزاء المركبات وقطع غيارها
D252,Manufacture of Plastic Products,صناعة المنتجات اللدائنية
D202,Manufacture of Products of Wood,صناعة المنتجات الخشبية والفلين والقش ومواد الضفر
D322,"Manufacture of Radio, TV Transmitters & Telecommunication Eqpt.",صناعة أجهزة الإرسال الإذاعي والتلفزيوني وأجهزة الهاتف والتلغراف
D232,Manufacture of Refind Petroleum Products,صناعة منتجات تكرير النفط
D251,Manufacture of Rubber Products,صناعة المنتجات المطاطية
D292,Manufacture of Special Purpose Machinery,صناعة الآلات التخصصية
D281,"Manufacture of Structural Metal Products, Reservoirs & Tanks",صناعة المنتجات المعدنية الإنشائية والصهاريج والخزانات ومولدات البخار
D160,Manufacture of Tobacco Products,صناعة منتجات التبغ
D359,Manufacture of Transport Equipment N.E.C.,صناعة وسائل النقل الأخرى
D333,Manufacture of Watches & Clocks,صناعة الساعات
D181,Manufacture of Wearing Apparel,صناعة الملابس بإستثاء ملابس الفراء
D300,"Manufacture of office, Accounting & Computing Machinery",صناعة آلات المكاتب والمحاسبة والحاسب الالكتروني
